order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,Item,Supplier,Order made On,Order received On,Lead Time,Quantity,Cost/unit,Review,Liked
11,01/12/2022,Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon,Potatoes,Batata Batata Men,01/10/2012,01/17/2012,7,26504,29,Service was very prompt.,1
12,12/07/2022,Vadapav,Fastfood,20,8,160,Online,Mrs.,Night,Potatoes,Aluwahlia & Sons,01/07/2012,01/16/2012,9,61919,29,Would not go back.,0
13,12/22/2022,Panipuri,Fastfood,20,9,180,Online,Mrs.,Afternoon,Potatoes,Batata & Co.,01/20/2012,01/25/2012,5,27333,31,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
14,11/25/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Morning,Potatoes,Batata Batata Men,01/17/2012,01/23/2012,6,20571,31,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
15,03/02/2023,Aalopuri,Fastfood,20,3,60,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,01/14/2012,01/23/2012,9,45499,31,I was disgusted because I was pretty sure that was human hair.,0
16,04/14/2022,Sandwich,Fastfood,60,11,660,Cash,Mrs.,Midnight,Potatoes,Batata & Co.,01/27/2012,02/01/2012,5,29296,29,I was shocked because no signs indicate cash only.,0
17,10/16/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Morning,Potatoes,Batata Batata Men,01/24/2012,01/31/2012,7,26104,31,Highly recommended.,1
18,05/11/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Night,Potatoes,Aluwahlia & Sons,01/21/2012,01/30/2012,9,39177,32,Waitress was a little slow in service.,0
19,08/22/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Night,Potatoes,Batata & Co.,02/03/2012,02/10/2012,7,27462,31,"This place is not worth your time, let alone Vegas.",0
20,09/15/2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Night,Potatoes,Batata Batata Men,01/31/2012,02/08/2012,8,30345,31,did not like at all.,0
21,12/21/2022,Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening,Potatoes,Aluwahlia & Sons,01/28/2012,02/05/2012,8,45627,30,The Burrittos Blah!,0
22,04/10/2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Evening,Potatoes,Batata & Co.,02/10/2012,02/16/2012,6,41336,29,"The food, amazing.",1
23,05/26/2022,Sandwich,Fastfood,60,3,180,Online,Mr.,Midnight,Potatoes,Batata Batata Men,02/07/2012,02/13/2012,6,30511,32,Service is also cute.,1
24,11/02/2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,02/04/2012,02/11/2012,7,27440,29,I could care less... The interior is just beautiful.,1
25,08/31/2022,Sandwich,Fastfood,60,1,60,Online,Mrs.,Evening,Potatoes,Batata & Co.,02/17/2012,02/23/2012,6,31824,29,So they performed.,1
26,08/18/2022,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,02/14/2012,02/20/2012,6,45374,31,That's right....the red velvet cake.....ohhh this stuff is so good.,1
27,12/10/2022,Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon,Potatoes,Aluwahlia & Sons,02/11/2012,02/18/2012,7,32204,31,- They never brought a salad we asked for.,0
28,06/01/2023,Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon,Potatoes,Batata & Co.,02/24/2012,03/02/2012,7,25560,30,"This hole in the wall has great Mexican street tacos, and friendly staff.",1
29,10/02/2023,Sugarcane juice,Beverages,25,9,225,Online,Mr.,Afternoon,Potatoes,Batata Batata Men,02/21/2012,02/28/2012,7,45293,32,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0
30,01/28/2023,Frankie,Fastfood,50,2,100,Cash,Mrs.,Night,Potatoes,Aluwahlia & Sons,02/18/2012,02/26/2012,8,34959,31,The worst was the salmon sashimi.,0
31,09/14/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening,Potatoes,Batata & Co.,03/02/2012,03/08/2012,6,53060,32,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
32,06/05/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning,Potatoes,Batata Batata Men,02/28/2012,03/07/2012,8,33560,28,This was like the final blow!,0
33,05/02/2023,Aalopuri,Fastfood,20,13,260,Online,Mr.,Night,Potatoes,Aluwahlia & Sons,02/25/2012,03/04/2012,8,25758,28,I found this place by accident and I could not be happier.,1
34,04/02/2023,Frankie,Fastfood,50,12,600,Online,Mrs.,Evening,Potatoes,Batata & Co.,03/09/2012,03/15/2012,6,14094,28,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
35,05/22/2022,Vadapav,Fastfood,20,8,160,Cash,Mr.,Morning,Potatoes,Batata Batata Men,03/06/2012,03/12/2012,6,16673,31,"Overall, I like this place a lot.",1
36,02/07/2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,03/03/2012,03/11/2012,8,79984,28,The only redeeming quality of the restaurant was that it was very inexpensive.,1
37,05/01/2023,Frankie,Fastfood,50,10,500,Cash,Mr.,Night,Potatoes,Batata & Co.,03/16/2012,03/22/2012,6,45290,32,Ample portions and good prices.,1
38,08/03/2023,Panipuri,Fastfood,20,12,240,Online,Mrs.,Night,Potatoes,Batata Batata Men,03/13/2012,03/19/2012,6,19170,32,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
39,05/14/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Evening,Potatoes,Aluwahlia & Sons,03/10/2012,03/19/2012,9,47860,31,My first visit to Hiro was a delight!,1
40,05/02/2023,Sandwich,Fastfood,60,5,300,Online,Mrs.,Night,Potatoes,Batata & Co.,03/23/2012,03/28/2012,5,26115,28,Service sucks.,0
41,11/13/2022,Cold coffee,Beverages,40,11,440,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,03/20/2012,03/26/2012,6,57963,32,The shrimp tender and moist.,1
42,09/05/2022,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night,Potatoes,Aluwahlia & Sons,03/17/2012,03/26/2012,9,30170,30,There is not a deal good enough that would drag me into that establishment again.,0
43,05/26/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Night,Potatoes,Batata & Co.,03/30/2012,04/06/2012,7,50064,30,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
44,08/28/2022,Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening,Potatoes,Batata Batata Men,03/27/2012,04/02/2012,6,43530,32,"On a positive note, our server was very attentive and provided great service.",1
45,08/15/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mrs.,Afternoon,Potatoes,Aluwahlia & Sons,03/24/2012,04/01/2012,8,11349,28,"Frozen pucks of disgust, with some of the worst people behind the register.",0
46,07/05/2022,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening,Potatoes,Batata & Co.,04/06/2012,04/11/2012,5,37438,28,The only thing I did like was the prime rib and dessert section.,1
47,10/07/2022,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning,Potatoes,Batata Batata Men,04/03/2012,04/09/2012,6,35349,28,It's too bad the food is so damn generic.,0
48,02/23/2023,Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,03/31/2012,04/08/2012,8,39040,30,"The burger is good beef, cooked just right.",1
49,06/11/2022,Frankie,Fastfood,50,4,200,Online,Mrs.,Morning,Potatoes,Batata & Co.,04/13/2012,04/19/2012,6,17622,32,If you want a sandwich just go to any Firehouse!!!!!,1
50,02/11/2022,Vadapav,Fastfood,20,8,160,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,04/10/2012,04/18/2012,8,51106,30,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
51,05/16/2022,Frankie,Fastfood,50,15,750,Online,Mrs.,Morning,Potatoes,Aluwahlia & Sons,04/07/2012,04/16/2012,9,43315,28,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
52,03/16/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight,Potatoes,Batata & Co.,04/20/2012,04/26/2012,6,21571,28,He came running after us when he realized my husband had left his sunglasses on the table.,1
53,07/26/2022,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,04/17/2012,04/25/2012,8,36730,29,Their chow mein is so good!,1
54,12/28/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning,Potatoes,Aluwahlia & Sons,04/14/2012,04/22/2012,8,16009,30,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
55,07/05/2022,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night,Potatoes,Batata & Co.,04/27/2012,05/03/2012,6,33436,28,The portion was huge!,1
56,11/23/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,04/24/2012,04/30/2012,6,49374,28,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
57,04/08/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning,Potatoes,Aluwahlia & Sons,04/21/2012,04/28/2012,7,17711,28,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
58,03/02/2023,Vadapav,Fastfood,20,6,120,Online,Mrs.,Morning,Potatoes,Batata & Co.,05/04/2012,05/09/2012,5,16959,28,Not much seafood and like 5 strings of pasta at the bottom.,0
59,01/07/2022,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning,Potatoes,Batata Batata Men,05/01/2012,05/07/2012,6,34993,31,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
60,11/06/2022,Cold coffee,Beverages,40,2,80,Online,Mr.,Night,Potatoes,Aluwahlia & Sons,04/28/2012,05/07/2012,9,44227,29,"The ripped banana was not only ripped, but petrified and tasteless.",0
61,12/25/2022,Vadapav,Fastfood,20,14,280,Cash,Mrs.,Afternoon,Potatoes,Batata & Co.,05/11/2012,05/18/2012,7,43452,31,At least think to refill my water before I struggle to wave you over for 10 minutes.,0
62,10/17/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,05/08/2012,05/15/2012,7,30475,29,This place receives stars for their APPETIZERS!!!,1
63,01/12/2022,Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning,Potatoes,Aluwahlia & Sons,05/05/2012,05/14/2012,9,26374,28,The cocktails are all handmade and delicious.,1
64,09/12/2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Morning,Potatoes,Batata & Co.,05/18/2012,05/25/2012,7,24659,31,We'd definitely go back here again.,1
65,07/25/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning,Potatoes,Batata Batata Men,05/15/2012,05/23/2012,8,38314,31,We are so glad we found this place.,1
66,05/04/2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning,Potatoes,Aluwahlia & Sons,05/12/2012,05/19/2012,7,31251,32,"Great food and service, huge portions and they give a military discount.",1
67,05/15/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Midnight,Potatoes,Batata & Co.,05/25/2012,05/30/2012,5,20022,29,Always a great time at Dos Gringos!,1
68,12/17/2022,Cold coffee,Beverages,40,2,80,Cash,Mr.,Night,Potatoes,Batata Batata Men,05/22/2012,05/28/2012,6,20623,31,Update.....went back for a second time and it was still just as amazing,1
69,10/01/2023,Vadapav,Fastfood,20,7,140,Cash,Mr.,Midnight,Potatoes,Aluwahlia & Sons,05/19/2012,05/26/2012,7,63033,32,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
70,09/05/2022,Cold coffee,Beverages,40,14,560,Cash,Mrs.,Morning,Potatoes,Batata & Co.,06/01/2012,06/06/2012,5,28362,30,A great way to finish a great.,1
71,05/12/2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Night,Potatoes,Batata Batata Men,05/29/2012,06/06/2012,8,17976,29,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
72,09/03/2023,Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,05/26/2012,06/03/2012,8,65926,32,"- Really, really good rice, all the time.",1
73,07/29/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Midnight,Potatoes,Batata & Co.,06/08/2012,06/15/2012,7,28537,30,The service was meh.,0
74,08/15/2022,Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening,Potatoes,Batata Batata Men,06/05/2012,06/11/2012,6,34609,30,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
75,02/02/2023,Cold coffee,Beverages,40,6,240,Online,Mrs.,Afternoon,Potatoes,Aluwahlia & Sons,06/02/2012,06/11/2012,9,59853,30,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0
76,08/17/2022,Vadapav,Fastfood,20,9,180,Online,Mr.,Morning,Potatoes,Batata & Co.,06/15/2012,06/20/2012,5,66420,30,The scallop dish is quite appalling for value as well.,0
77,04/02/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,06/12/2012,06/18/2012,6,32747,31,2 times - Very Bad Customer Service !,0
78,01/10/2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,06/09/2012,06/16/2012,7,41141,30,The sweet potato fries were very good and seasoned well.,1
79,05/11/2022,Panipuri,Fastfood,20,6,120,Online,Mr.,Night,Potatoes,Batata & Co.,06/22/2012,06/28/2012,6,42301,31,Today is the second time I've been to their lunch buffet and it was pretty good.,1
80,05/24/2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Evening,Potatoes,Batata Batata Men,06/19/2012,06/27/2012,8,39797,29,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
81,11/19/2022,Frankie,Fastfood,50,12,600,Online,Mrs.,Night,Potatoes,Aluwahlia & Sons,06/16/2012,06/25/2012,9,78580,32,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
82,07/17/2022,Frankie,Fastfood,50,3,150,Online,Mrs.,Evening,Potatoes,Batata & Co.,06/29/2012,07/05/2012,6,32163,31,walked in and the place smelled like an old grease trap and only 2 others there eating.,0
83,11/13/2022,Frankie,Fastfood,50,11,550,Cash,Mr.,Evening,Potatoes,Batata Batata Men,06/26/2012,07/02/2012,6,34896,31,The turkey and roast beef were bland.,0
84,03/03/2023,Panipuri,Fastfood,20,13,260,Cash,Mr.,Midnight,Potatoes,Aluwahlia & Sons,06/23/2012,06/30/2012,7,79501,31,This place has it!,1
85,08/19/2022,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Night,Potatoes,Batata & Co.,07/06/2012,07/11/2012,5,53696,32,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
86,09/03/2023,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Morning,Potatoes,Batata Batata Men,07/03/2012,07/10/2012,7,62445,30,I love the Pho and the spring rolls oh so yummy you have to try.,1
87,05/29/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Night,Potatoes,Aluwahlia & Sons,06/30/2012,07/07/2012,7,28146,32,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
88,07/07/2022,Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening,Potatoes,Batata & Co.,07/13/2012,07/18/2012,5,14123,32,All I have to say is the food was amazing!!!,1
89,12/23/2022,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Evening,Potatoes,Batata Batata Men,07/10/2012,07/16/2012,6,63188,29,Omelets are to die for!,1
90,10/29/2022,Vadapav,Fastfood,20,15,300,Online,Mr.,Night,Potatoes,Aluwahlia & Sons,07/07/2012,07/14/2012,7,65870,31,Everything was fresh and delicious!,1
91,03/22/2023,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Evening,Potatoes,Batata & Co.,07/20/2012,07/26/2012,6,55116,32,"In summary, this was a largely disappointing dining experience.",0
92,05/13/2022,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,07/17/2012,07/23/2012,6,76041,30,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
93,03/07/2022,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight,Potatoes,Aluwahlia & Sons,07/14/2012,07/23/2012,9,29247,29,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
94,09/14/2022,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Night,Potatoes,Batata & Co.,07/27/2012,08/01/2012,5,39383,29,Best breakfast buffet!!!,1
95,12/05/2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Night,Potatoes,Batata Batata Men,07/24/2012,08/01/2012,8,36658,28,say bye bye to your tip lady!,0
96,08/22/2022,Sandwich,Fastfood,60,15,900,Cash,Mr.,Morning,Potatoes,Aluwahlia & Sons,07/21/2012,07/30/2012,9,77918,30,We'll never go again.,0
97,03/29/2023,Cold coffee,Beverages,40,13,520,Online,Mr.,Evening,Potatoes,Batata & Co.,08/03/2012,08/08/2012,5,77827,31,Will be back again!,1
98,12/24/2022,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning,Potatoes,Batata Batata Men,07/31/2012,08/08/2012,8,29585,28,Food arrived quickly!,1
99,11/09/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Evening,Potatoes,Aluwahlia & Sons,07/28/2012,08/04/2012,7,53779,28,It was not good.,0
100,08/05/2022,Panipuri,Fastfood,20,11,220,Cash,Mr.,Morning,Potatoes,Batata & Co.,08/10/2012,08/15/2012,5,35507,30,"On the up side, their cafe serves really good food.",1
101,03/26/2023,Vadapav,Fastfood,20,3,60,Online,Mrs.,Morning,Potatoes,Batata Batata Men,08/07/2012,08/13/2012,6,32554,29,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
102,03/13/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning,Potatoes,Aluwahlia & Sons,08/04/2012,08/13/2012,9,59224,29,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
103,03/14/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Midnight,Potatoes,Batata & Co.,08/17/2012,08/24/2012,7,16796,28,"Best Buffet in town, for the price you cannot beat it.",1
104,10/27/2022,Cold coffee,Beverages,40,13,520,Online,Mr.,Morning,Potatoes,Batata Batata Men,08/14/2012,08/20/2012,6,58847,28,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
105,01/25/2023,Panipuri,Fastfood,20,8,160,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,08/11/2012,08/18/2012,7,46180,30,This is one of the better buffets that I have been to.,1
106,02/25/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening,Potatoes,Batata & Co.,08/24/2012,08/30/2012,6,35501,31,So we went to Tigerlilly and had a fantastic afternoon!,1
107,07/02/2023,Sandwich,Fastfood,60,4,240,Online,Mr.,Afternoon,Potatoes,Batata Batata Men,08/21/2012,08/28/2012,7,11290,31,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
108,06/08/2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,08/18/2012,08/26/2012,8,48225,31,The ambience is wonderful and there is music playing.,1
109,08/08/2022,Cold coffee,Beverages,40,12,480,Cash,Mr.,Afternoon,Potatoes,Batata & Co.,08/31/2012,09/05/2012,5,45031,31,Will go back next trip out.,1
110,11/16/2022,Panipuri,Fastfood,20,2,40,Online,Mrs.,Morning,Potatoes,Batata Batata Men,08/28/2012,09/04/2012,7,33492,30,Sooooo good!!,1
111,04/09/2022,Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight,Potatoes,Aluwahlia & Sons,08/25/2012,09/01/2012,7,36278,28,"REAL sushi lovers, let's be honest - Yama is not that good.",0
112,02/24/2023,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning,Potatoes,Batata & Co.,09/07/2012,09/13/2012,6,19743,31,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
113,12/12/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,09/04/2012,09/10/2012,6,22816,29,This is a really fantastic Thai restaurant which is definitely worth a visit.,1
114,08/14/2022,Aalopuri,Fastfood,20,10,200,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,09/01/2012,09/10/2012,9,71611,31,"Nice, spicy and tender.",1
115,12/01/2023,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Evening,Potatoes,Batata & Co.,09/14/2012,09/20/2012,6,45652,28,Good prices.,1
116,08/26/2022,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Evening,Potatoes,Batata Batata Men,09/11/2012,09/19/2012,8,44254,30,Check it out.,1
117,09/03/2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Evening,Potatoes,Aluwahlia & Sons,09/08/2012,09/15/2012,7,11612,30,It was pretty gross!,0
118,06/07/2022,Sandwich,Fastfood,60,1,60,Online,Mr.,Midnight,Potatoes,Batata & Co.,09/21/2012,09/26/2012,5,48621,29,I've had better atmosphere.,0
119,12/05/2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Evening,Potatoes,Batata Batata Men,09/18/2012,09/24/2012,6,35884,29,Kind of hard to mess up a steak but they did.,0
120,10/07/2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,09/15/2012,09/22/2012,7,20056,28,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
121,08/26/2022,Cold coffee,Beverages,40,8,320,Cash,Mr.,Afternoon,Potatoes,Batata & Co.,09/28/2012,10/05/2012,7,19784,32,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0
122,04/24/2022,Panipuri,Fastfood,20,3,60,Cash,Mrs.,Night,Potatoes,Batata Batata Men,09/25/2012,10/01/2012,6,18642,32,"Worst service to boot, but that is the least of their worries.",0
123,09/06/2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Evening,Potatoes,Aluwahlia & Sons,09/22/2012,09/29/2012,7,55451,28,Service was fine and the waitress was friendly.,1
124,10/14/2022,Sugarcane juice,Beverages,25,13,325,Cash,Mrs.,Evening,Potatoes,Batata & Co.,10/05/2012,10/12/2012,7,49223,28,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
125,10/04/2022,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,10/02/2012,10/08/2012,6,35183,31,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
126,08/04/2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night,Potatoes,Aluwahlia & Sons,09/29/2012,10/08/2012,9,15622,31,"Host staff were, for lack of a better word, BITCHES!",0
127,03/12/2022,Aalopuri,Fastfood,20,1,20,Cash,Mrs.,Morning,Potatoes,Batata & Co.,10/12/2012,10/19/2012,7,20713,32,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
128,07/08/2022,Vadapav,Fastfood,20,11,220,Online,Mr.,Midnight,Potatoes,Batata Batata Men,10/09/2012,10/15/2012,6,34065,30,"Phenomenal food, service and ambiance.",1
129,10/19/2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Morning,Potatoes,Aluwahlia & Sons,10/06/2012,10/14/2012,8,41576,30,I wouldn't return.,0
130,12/28/2022,Sugarcane juice,Beverages,25,7,175,Cash,Mr.,Night,Potatoes,Batata & Co.,10/19/2012,10/24/2012,5,32936,29,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
131,01/19/2023,Sandwich,Fastfood,60,8,480,Cash,Mr.,Night,Potatoes,Batata Batata Men,10/16/2012,10/24/2012,8,20745,32,This place is way too overpriced for mediocre food.,0
132,05/12/2022,Vadapav,Fastfood,20,4,80,Online,Mrs.,Night,Potatoes,Aluwahlia & Sons,10/13/2012,10/21/2012,8,45953,28,Penne vodka excellent!,1
133,12/20/2022,Aalopuri,Fastfood,20,5,100,Online,Mr.,Midnight,Potatoes,Batata & Co.,10/26/2012,10/31/2012,5,21157,28,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
134,07/17/2022,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Night,Potatoes,Batata Batata Men,10/23/2012,10/29/2012,6,39834,32,The management is rude.,0
135,01/14/2023,Aalopuri,Fastfood,20,8,160,Online,Mr.,Midnight,Potatoes,Aluwahlia & Sons,10/20/2012,10/29/2012,9,76043,30,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
136,08/24/2022,Aalopuri,Fastfood,20,15,300,Online,Mr.,Morning,Potatoes,Batata & Co.,11/02/2012,11/09/2012,7,28267,29,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
137,03/19/2023,Sugarcane juice,Beverages,25,6,150,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,10/30/2012,11/07/2012,8,39892,30,I had a seriously solid breakfast here.,1
